"","gameId","playId","ballCarrierId","tacklerNflId","ballCarrierDisplayName","ballCarrierPos","tacklerName","tacklerPos","quarter","down","yardsToGo","possessionTeam","defensiveTeam","playDescription","playResult","DIOVDT_T","forceGeneratedSpotTackle","tackleAngle","disFromFirstDown","tacklerAcc_T","ballCarrierAcc_T","distFromEachOther","tacklerMass","ballCarrierMass","passProbability","tacklerAcc_BR","ballCarrierAcc_BR","tackleDisFromCenter","DIOVDT_BR","differenceAngularDirection","expForce","overExpected"
"1",2022100908,3537,48723,43306,"Parker Hesse","TE","Keanu Neal","FS",4,1,10,"ATL","TB","(7:52) (Shotgun) M.Mariota pass short middle to P.Hesse to 50 for 9 yards (K.Neal).",9,5.39000000000001,240.906215743659,68.68,8.39,2.95,0.86,5.92979763567021,98.1818181818182,118.636363636364,0.747284412,1.77,1.62,0.790000000000003,2.14999999999999,177.25,201.39782594511,39.5083897985493
"2",2022091111,1148,42547,47843,"Darren Waller","TE","Nasir Adderley","FS",2,2,5,"LV","LAC","(8:57) D.Carr pass short middle to D.Waller to LV 45 for 15 yards (N.Adderley).",15,75.3,232.400085068919,133.69,9.63,5.71,4.19,4.60636516138267,93.6363636363636,115.909090909091,0.267932802,4.31,0.78,0.960000000000001,24.43,89.56,215.143799829971,17.2562852389484
"3",2022103001,2165,54616,46124,"Tyler Allgeier","RB","Donte Jackson","CB",3,3,17,"ATL","CAR","(10:14) (Shotgun) M.Mariota pass short left to T.Allgeier to ATL 23 for 5 yards (D.Jackson).",5,44.24,373.505686548259,87.39,11.56,3.09,2.46,18.5676950642776,81.8181818181818,100,0.908870161,6.23,0.55,9.69,37.6799999999999,87.09,143.950637423406,229.555049124853
"4",2022102310,1318,41325,46164,"Jerick McKinnon","RB","Tarvarius Moore","SS",2,1,10,"KC","SF","(10:31) (Shotgun) J.McKinnon left guard to KC 49 for 9 yards (T.Moore).",9,91.98,24.4999685863693,170.59,8.55,3.43,3.16,21.5733585702366,90.9090909090909,93.1818181818182,0.496856838,0.65,1.47,2.35,166.19,75.47,150.600231290507,-126.100262704138
"5",2022092511,2903,46096,52527,"Rashaad Penny","RB","Mykal Walker","ILB",3,1,10,"SEA","ATL","(:35) (Shotgun) G.Smith pass short left to R.Penny to SEA 28 for 3 yards (M.Walker).",3,56.14,105.639580878261,17.98,2.87,4.99,3.92,6.26080665729264,99.5454545454545,100,0.604373574,2.93,2.71,12.53,3.57999999999998,58.37,180.461263793977,-74.8216829157161
"6",2022091112,1994,52470,52497,"A.J. Dillon","RB","Cameron Dantzler","CB",3,3,1,"GB","MIN","(13:44) (Shotgun) A.Dillon left tackle to GB 30 for 3 yards (C.Dantzler).",3,88.12,306.168675422026,137.82,6.4,2.09,1.18,9.86646846647776,84.0909090909091,113.636363636364,0.337681562,5.17,3.27,9.2,13.45,83.08,104.427556123315,201.741119298711
"7",2022091102,3336,46331,46077,"Ross Dwelley","TE","Roquan Smith","ILB",4,3,10,"SF","CHI","(11:55) (Shotgun) T.Lance pass short middle to R.Dwelley to SF 36 for 11 yards (R.Smith).",11,11.41,303.245037362026,174.03,11.56,4.31,3.43,0.860929730001238,104.545454545455,109.090909090909,0.976593018,4.08,2.78,1.92,15.26,46.68,154.605218274211,148.639819087815
"8",2022100212,1183,46109,47810,"Courtland Sutton","WR","Johnathan Abram","SS",2,3,16,"DEN","LV","(8:50) (Shotgun) R.Wilson pass short right to C.Sutton to LV 9 for 9 yards (J.Abram).",9,73.38,362.042553210112,160.35,1.66,3.57,3.1,2.08806130178211,93.1818181818182,98.1818181818182,0.927468061,3.95,2.6,9.89,17.6,124.24,167.2802008201,194.762352390012
"9",2022110603,3498,43584,53649,"Kalif Raymond","WR","Isaiah McDuffie","ILB",4,2,9,"DET","GB","(5:02) (Shotgun) J.Goff pass short left to K.Raymond to DET 45 for 8 yards (I.McDuffie).",8,35.52,-8.12362713234504,22.5,8.59999999999999,2.21,2.91,7.54183664633489,101.818181818182,82.7272727272727,0.501552343,2.87,2.61,4.07,8.47999999999999,101.76,35.4390695933738,-43.5626967257189
"10",2022100211,1790,46705,52991,"Allen Lazard","WR","Myles Bryant","CB",2,1,10,"GB","NE","(:07) (Shotgun) A.Rodgers pass short left to A.Lazard to GB 41 for 6 yards (M.Bryant).",6,90.5,33.4596567311998,40.76,5.77,2.39,1.67,4.21513938085088,81.8181818181818,103.181818181818,0.941939592,4.04,4.27,9.59,34.66,124.89,111.268053850422,-77.8083971192223
"11",2022102305,1996,52442,47971,"Michael Pittman","WR","David Long","ILB",3,3,15,"IND","TEN","(12:35) (No Huddle, Shotgun) M.Ryan pass short left to M.Pittman to IND 40 for 7 yards (D.Long).",7,3.99000000000001,109.730734435398,179.13,0.150000000000006,1.29,0.75,4.45121331773708,101.818181818182,100,0.970584869,2.79,2.07,5.62,30.94,96.5,106.174309782617,3.5564246527815
"12",2022092504,223,44853,54653,"Dalvin Cook","RB","Malcolm Rodriguez","ILB",1,1,10,"MIN","DET","(11:03) D.Cook up the middle to MIN 45 for 7 yards (M.Rodriguez, T.Walker).",7,78.45,38.4272387064864,104.57,7.38,4.22,4.26,9.64995336776297,102.272727272727,95.4545454545454,0.597950399,3.22,4.8,3.13,87.54,52.17,128.750613242843,-90.3233745363563
"13",2022101601,528,46104,35466,"Nick Chubb","RB","Devin McCourty","FS",1,1,10,"CLE","NE","(7:27) (Shotgun) N.Chubb left tackle to CLV 33 for 8 yards (D.McCourty, K.Dugger).",8,9.55,-7.31289913378623,169.96,6,0.75,0.73,17.9934265775032,88.6363636363636,102.272727272727,0.520626426,3.18,1.95,2.91,96.5,123.62,54.9636553566209,-62.2765544904071
"14",2022100209,1840,47836,52481,"Miles Sanders","RB","Davon Hamilton","DT",2,3,2,"PHI","JAX","(1:15) (Shotgun) M.Sanders up the middle to JAX 12 for 1 yard (D.Hamilton).",1,57.78,-108.93802003948,24.72,9.1,0.55,2.09,5.15740244696882,140.909090909091,95.9090909090909,0.565563798,0.72,2.28,2.2,39.86,93.79,-31.1147111579749,-77.8233088815051
"15",2022091100,1887,54473,41257,"Drake London","WR","Bradley Roby","CB",2,1,10,"ATL","NO","(:23) (No Huddle, Shotgun) M.Mariota pass deep middle to D.London to NO 30 for 31 yards (B.Roby).",31,75.55,-21.6871648833258,49.56,30.39,2.43,3.25,18.0369897710233,88.1818181818182,95.4545454545454,0.937148571,2.88,0.86,15.96,154.15,59.59,-4.83400860084181,-16.853156282484
"16",2022101609,3660,39983,54618,"Zach Ertz","TE","Tariq Woolen","CB",4,1,10,"ARI","SEA","(6:40) (Shotgun) K.Murray pass short left to Z.Ertz to ARZ 14 for 7 yards (T.Woolen).",7,44.76,227.094816748271,29.4,5.35,3.46,1,0.615223536610879,93.1818181818182,113.636363636364,0.832005918,3.87,2.65,10.99,21.02,55.82,203.847180801208,23.247635947063
"17",2022102308,588,42397,41300,"Ameer Abdullah","RB","Christian Kirksey","OLB",1,3,21,"LV","HOU","(3:20) (Shotgun) D.Carr pass short left to A.Abdullah to LV 23 for 5 yards (C.Kirksey). HST-M.Collins was injured during the play. His return is Questionable.",5,39.77,275.951568161786,77.92,5.67,4.16,1.83,16.3188633182584,106.818181818182,92.2727272727273,0.870124817,3.6,2.74,2.69,27.11,26.66,307.482805441039,-31.5312372792528
"18",2022100600,3576,46367,53534,"Phillip Lindsay","RB","Baron Browning","ILB",4,1,5,"IND","DEN","(8:27) P.Lindsay left tackle to IND 32 for -2 yards (B.Browning).",-2,179.35,-24.169809373445,160.64,0.879999999999995,0.92,1.59,6.356925357435,109.090909090909,86.3636363636364,0.539126456,2.49,2.92,1.7,49.32,123.02,100.490073714854,-124.659883088299
"19",2022102400,3556,53549,42443,"Rhamondre Stevenson","RB","Angelo Blackson","DT",4,1,10,"NE","CHI","(3:44) (No Huddle, Shotgun) B.Zappe pass short left to R.Stevenson to NE 43 for 1 yard (A.Blackson).",1,12.57,380.525245544077,40.36,0.120000000000005,2.15,1.49,7.07788810309968,144.545454545455,111.818181818182,0.856032789,0.57,1.94,2.79,50.45,37.51,123.976514163182,256.548731380895
"20",2022100911,866,53439,47816,"DeVonta Smith","WR","Byron Murphy","CB",1,3,12,"PHI","ARI","(1:39) (Shotgun) J.Hurts pass deep left to D.Smith to PHI 33 for 22 yards (B.Murphy) [D.Gardeck].",22,12.41,100.538860945972,31.91,19.93,4.1,5.08,1.00448992030781,86.3636363636364,75,0.911122262,3.93,5.6,14.26,19.6,43.28,12.3029451187572,88.2359158272149
"21",2022103001,983,53433,45004,"Kyle Pitts","TE","Xavier Woods","FS",2,1,10,"ATL","CAR","(12:54) (Shotgun) M.Mariota pass short left to K.Pitts to CAR 16 for 26 yards (X.Woods).",26,6.82000000000001,-130.880654020532,44.56,26.08,3.25,3.94,6.81032304666966,91.8181818181818,113.636363636364,0.46103555,1.44,0.57,14.79,20.2,14.51,-96.5687745098852,-34.3118795106468
"22",2022101609,2504,54506,49410,"Kenneth Walker","RB","Jalen Thompson","FS",3,1,10,"SEA","ARI","(6:35) (Shotgun) K.Walker right end to ARZ 11 for 21 yards (J.Thompson).",21,28.79,-140.038797150317,40.16,20.81,2.33,3.66,25.9441746833465,86.3636363636364,95.4545454545454,0.451261371,0.47,3.65,2.66,177.9,43.1,-69.2378385637367,-70.8009585865803
"23",2022092502,2514,52449,53487,"Jonathan Taylor","RB","Nick Bolton","ILB",3,2,3,"IND","KC","(7:26) J.Taylor up the middle to IND 37 for 5 yards (N.Bolton, J.Reid). KC-C.Jones was injured during the play.",5,14.49,262.221105354593,59.37,11.66,3.62,1.39,7.77741602333319,105.454545454545,100.454545454545,0.381275475,0.55,3.01,1.56,38.26,145.64,254.566595477474,7.65450987711941
"24",2022102303,1075,53959,41235,"Brock Wright","TE","Anthony Barr","OLB",2,1,10,"DET","DAL","(10:04) (Shotgun) J.Goff pass short middle to B.Wright to DAL 25 for 6 yards (A.Barr).",6,61.56,-120.235771816429,25.19,6.43,4.31,5.46,0.642884126417819,115.909090909091,115.909090909091,0.462000877,2.06,1.68,5.97,46.14,9.89999999999998,-42.5300068357151,-77.7057649807139
"25",2022102302,382,44860,52542,"Joe Mixon","RB","Jaylinn Hawkins","FS",1,1,10,"CIN","ATL","(9:30) (No Huddle, Shotgun) J.Mixon left guard to CIN 45 for 5 yards (J.Hawkins).",5,115.14,124.796966032601,108.73,4.66,2.13,5.15,11.2012856404968,95.4545454545454,100,0.491100132,1.81,2.95,9.22,25.87,179.93,-104.840451050197,229.637417082798
"26",2022091812,2990,52470,46153,"A.J. Dillon","RB","Justin Jones","DT",4,1,10,"GB","CHI","(5:50) (Shotgun) A.Dillon right end to GB 12 for -1 yards (Ju.Jones).",-1,140.59,364.919699913773,40.96,1.31,2.83,3.52,5.28194093113507,140.454545454545,113.636363636364,0.116482064,1.5,3.31,5.7,4.09999999999999,91.7,68.5363759567218,296.383323957051
"27",2022091108,1222,42589,53500,"Geoff Swaim","TE","Aaron Robinson","CB",2,2,6,"TEN","NYG","(7:50) R.Tannehill pass short left to G.Swaim to NYG 5 for 2 yards (A.Robinson).",2,63.22,82.0341616459746,163.28,2.31999999999999,2.81,5.47,3.63411612362621,87.7272727272727,118.181818181818,0.319822282,1.36,1.93,10.87,38.26,79.41,-180.241301902884,262.275463548859
"28",2022101300,1042,47859,54513,"Terry McLaurin","WR","Jaquan Brisker","SS",2,3,5,"WAS","CHI","(9:50) (Shotgun) C.Wentz pass short left to T.McLaurin to WAS 23 for 17 yards (J.Brisker, E.Jackson).",17,49.43,-46.1708519839432,170.95,22.04,2.05,2.47,6.60037877700969,91.8181818181818,95.4545454545454,0.940887034,4.46,1.19,4.76,128.45,90.11,51.9596416042419,-98.1304935881851
"29",2022102700,366,54683,41403,"Ko Kieft","TE","Devon Kennard","OLB",1,1,10,"TB","BAL","(9:42) (Shotgun) T.Brady pass short right to K.Kieft to TB 48 for 9 yards (D.Kennard).",9,55.42,-205.721419139634,3.36000000000001,9.42,1.96,3.68,0.870919054792118,116.363636363636,120.454545454545,0.513822317,2.53,3.8,4.77,13.49,36.33,-140.731514870162,-64.9899042694724
"30",2022091109,1198,53454,53448,"Travis Etienne","RB","Jamin Davis","OLB",2,2,10,"JAX","WAS","(11:41) (Shotgun) T.Etienne left end to JAX 30 for 5 yards (J.Davis, K.Fuller).",5,93.17,-312.344348322916,21.66,4.31,2.97,6.97,7.55500496359863,106.363636363636,90.9090909090909,0.630536735,1.44,1.62,6.37,9.20000000000004,166.79,-157.427230291133,-154.917118031783
"31",2022092200,4028,46104,35449,"Nick Chubb","RB","Tyson Alualu","NT",4,1,10,"CLE","PIT","(1:46) M.Dunn reported in as eligible.  N.Chubb left guard to PIT 43 for 3 yards (T.Alualu).",3,22.94,-7.11312544499643,81.53,4.42,1.27,1.82,6.97983524160851,138.181818181818,102.272727272727,0.010733887,1.23,2.42,3.41,101.1,54.04,25.9165749854665,-33.029700430463
"32",2022091106,2450,46111,46212,"Mike Gesicki","TE","Ja'Whaun Bentley","ILB",3,2,6,"MIA","NE","(1:07) T.Tagovailoa pass short middle to M.Gesicki to NE 31 for 1 yard (J.Bentley).",1,110.15,644.084519363283,178.3,5.53,4.18,2.34,1.1506954418959,115.909090909091,114.545454545455,0.549847245,5.01,1.16,3.41,48.37,124.01,297.094935416181,346.989583947102
"33",2022092504,2575,44853,44888,"Dalvin Cook","RB","Alex Anzalone","ILB",3,1,10,"MIN","DET","(6:43) D.Cook right guard to DET 41 for 7 yards (A.Anzalone, M.Hughes).",7,10.72,-140.375914381887,93.22,6.76,1.66,3.38,8.05942926018959,109.090909090909,95.4545454545454,0.521374643,1.07,3.09,3.3,38.72,92.47,-66.9619066632384,-73.4140077186486
"34",2022103003,2782,52443,46307,"D'Andre Swift","RB","Zach Sieler","DT",3,3,27,"DET","MIA","(6:07) (Shotgun) J.Goff pass short left to D.Swift to DET 23 for 2 yards (Z.Sieler).",2,35.34,-20.7524893208334,6.02999999999997,19.59,2.61,5.33,7.11107586796822,131.818181818182,95.9090909090909,0.831389546,1.66,2.64,5.29,18.65,16.78,-123.417916558243,102.66542723741
"35",2022100201,2595,54616,45038,"Tyler Allgeier","RB","Isaac Rochell","DE",4,1,10,"ATL","CLE","(15:00) (Shotgun) T.Allgeier left tackle to CLV 30 for 7 yards (I.Rochell).",7,63.07,282.543434184275,44.69,6.69,4.65,3.1,7.32647937279564,127.272727272727,100,0.476716787,1.34,2.92,1.51,41.59,33.68,240.930021588885,41.6134125953904
"36",2022103000,2319,53454,46074,"Travis Etienne","RB","Bradley Chubb","OLB",3,1,10,"JAX","DEN","(13:42) T.Etienne left tackle to JAX 48 for 5 yards (B.Chubb, P.Surtain).",5,96.23,253.727400781266,107.97,4.98,2.45,0.58,7.26066801334423,125,90.9090909090909,0.4620336,2.52,3.02,2.56,46.42,101.37,291.830605030815,-38.1032042495494
"37",2022101608,2477,41290,53595,"Allen Robinson","WR","Keith Taylor","CB",3,1,10,"LA","CAR","(1:06) M.Stafford pass short left to Al.Robinson to CAR 17 for 22 yards (K.Taylor).",22,83.78,158.974462426929,57.29,20.4,4.49,4.04,19.2223957924084,88.6363636363636,100,0.816708028,4.8,1.5,1.86,42.07,153.8,184.003922067883,-25.0294596409539
"38",2022100910,309,44820,46757,"Christian McCaffrey","RB","Charvarius Ward","CB",1,3,1,"CAR","SF","(10:59) C.McCaffrey right tackle to CAR 25 for no gain (C.Ward).",0,41.08,30.920392711469,176.9,8.73,0.6,0.24,9.33266307117105,88.6363636363636,93.1818181818182,0.338420421,1.72,2.12,9.73,32.34,113.7,67.1693631520444,-36.2489704405754
"39",2022103000,2771,53454,42030,"Travis Etienne","RB","K'Waun Williams","CB",3,1,10,"JAX","DEN","(4:52) T.Etienne left guard to JAX 39 for 9 yards (K.Williams, K.Jackson).",9,50.37,-132.705318441094,60.39,7.32,3.55,4.81,10.513629249693,83.1818181818182,90.9090909090909,0.467082947,1.87,4.04,4.93,59.12,79.31,-20.3383637828734,-112.366954658221
"40",2022101601,1359,46104,52445,"Nick Chubb","RB","Kyle Dugger","FS",2,1,10,"CLE","NE","(8:39) N.Chubb left tackle to NE 49 for 3 yards (K.Dugger).",3,141.29,17.5724910597595,157.86,3.38,1.81,2.18,8.16843314228622,98.1818181818182,102.272727272727,0.667566121,1.61,1.22,5.91,64.05,93.21,62.4596206606915,-44.887129600932
